Open time,BTC,ETH,XRP,LTC,DOGE,LINK
2019-08-01,10374.99,216.84,0.31575,98.64,0.0029004,2.161
2019-08-02,10523.75,217.61,0.31178,94.76,0.0028996,2.4271
2019-08-03,10816.86,222.14,0.31596,94.17,0.0028994,2.4211
2019-08-04,10929.23,221.79,0.31813,92.64,0.0029222,2.5099
2019-08-05,11828.8,233.54,0.32242,96.56,0.0030428,2.4562
2019-08-06,11481.69,226.28,0.3116,92.99,0.0029557,2.4785
2019-08-07,11975.03,226.1,0.31109,90.59,0.0029856,2.3826
2019-08-08,11999.77,221.39,0.30825,90.15,0.0029635,2.2755
2019-08-09,11879.99,210.53,0.29649,84.24,0.002913,2.1669
2019-08-10,11309.31,206.48,0.29918,85.46,0.00285,2.3336
2019-08-11,11549.97,216.42,0.30316,89.93,0.0028874,2.415
2019-08-12,11396.08,211.41,0.3006,85.79,0.0028516,2.39
2019-08-13,10892.71,209.3,0.298,84.88,0.0028339,2.4229
2019-08-14,10050.37,187.1,0.26353,75.9,0.0027161,2.2842
2019-08-15,10293.93,188.03,0.26378,76.25,0.0025916,2.4232
2019-08-16,10331.54,184.88,0.26047,74.67,0.002651,2.3
2019-08-17,10216.02,185.59,0.26546,72.65,0.0026251,2.4036
2019-08-18,10306.78,194.33,0.2832,76.25,0.002695,2.5051
2019-08-19,10915.54,202.28,0.28202,77.1,0.0027816,2.4958
2019-08-20,10760.51,196.6,0.27432,75.14,0.002712,2.3624
2019-08-21,10142.57,187.45,0.26589,73.27,0.0026398,2.2054
2019-08-22,10099.88,190.35,0.27039,73.31,0.0026458,2.2227
2019-08-23,10389.55,194.02,0.27664,75.38,0.0026668,2.2333
2019-08-24,10134.35,190.6,0.27137,73.32,0.0026222,2.1681
2019-08-25,10142.69,186.54,0.26954,72.1,0.0026237,2.078
2019-08-26,10372.25,188.67,0.27051,73.54,0.0026409,2.0739
2019-08-27,10185.05,187.24,0.26954,72.9,0.0025993,2.1128
2019-08-28,9721.0,173.03,0.25629,66.73,0.0024965,1.8957
2019-08-29,9498.44,169.01,0.25698,63.59,0.0024244,1.7744
2019-08-30,9584.54,168.5,0.25539,64.17,0.0024449,1.796
2019-08-31,9587.47,171.57,0.25747,64.24,0.0024528,1.7791
2019-09-01,9724.98,170.74,0.25593,65.89,0.0024603,1.7686
2019-09-02,10340.0,178.05,0.2606,66.92,0.0025882,1.8287
2019-09-03,10615.28,178.75,0.26242,69.06,0.0025593,1.849
2019-09-04,10567.02,174.72,0.25843,67.01,0.0025097,1.7784
2019-09-05,10564.49,173.75,0.25617,65.23,0.0024909,1.7921
2019-09-06,10298.73,169.08,0.2511,64.87,0.00247,1.7226
2019-09-07,10455.88,177.62,0.25993,68.77,0.0024542,1.7672
2019-09-08,10381.18,181.19,0.26205,70.36,0.0024585,1.8275
2019-09-09,10303.12,180.54,0.25855,69.89,0.0024351,1.7872
2019-09-10,10098.15,179.81,0.25859,70.85,0.0024185,1.7998
2019-09-11,10158.33,178.28,0.25519,69.8,0.0023892,1.7301
2019-09-12,10415.01,180.72,0.25406,69.15,0.0023928,1.7073
2019-09-13,10342.06,180.95,0.2552,68.93,0.002399,1.5759
2019-09-14,10335.02,188.13,0.26124,70.5,0.0024192,1.5634
2019-09-15,10302.01,189.03,0.26022,70.04,0.002426,1.6104
2019-09-16,10251.31,197.22,0.26098,72.63,0.0024309,1.5806
2019-09-17,10187.82,207.84,0.28561,74.04,0.002594,1.624
2019-09-18,10156.99,210.21,0.31344,77.81,0.0027015,1.801
2019-09-19,10244.29,220.24,0.30062,76.56,0.0027083,1.8744
2019-09-20,10168.59,218.03,0.2936,75.05,0.0026497,1.8245
2019-09-21,9986.39,215.05,0.28961,73.22,0.0025772,1.8855
2019-09-22,10028.87,211.2,0.27653,72.23,0.002562,1.8157
2019-09-23,9702.25,201.29,0.26786,66.54,0.0024474,1.8048
2019-09-24,8493.14,165.81,0.23282,54.57,0.00219,1.716
2019-09-25,8430.05,169.96,0.2457,57.43,0.0021757,1.7443
2019-09-26,8063.73,165.92,0.2422,55.19,0.0021396,1.6512
2019-09-27,8177.91,173.79,0.24208,55.86,0.0021723,1.659
2019-09-28,8198.81,173.49,0.24163,55.37,0.0021974,1.6742
2019-09-29,8043.82,169.24,0.24024,53.82,0.0021854,1.7002
2019-09-30,8289.34,180.85,0.2566,55.99,0.0023747,1.7677
2019-10-01,8292.44,175.66,0.24788,55.63,0.0023503,1.8286
2019-10-02,8359.94,180.24,0.25247,56.23,0.002323,2.011
2019-10-03,8223.96,174.69,0.24674,56.44,0.0022977,1.9442
2019-10-04,8137.13,175.55,0.25243,56.3,0.0022893,1.9663
2019-10-05,8126.19,176.25,0.25325,56.69,0.0022922,1.9624
2019-10-06,7854.25,170.1,0.25552,54.41,0.0022677,2.1669
2019-10-07,8190.09,179.85,0.27592,57.46,0.002331,2.3963
2019-10-08,8168.39,180.6,0.2774,56.94,0.0023096,2.5765
2019-10-09,8560.74,192.62,0.28082,59.12,0.0023522,2.8011
2019-10-10,8558.03,191.14,0.27021,57.47,0.0023,2.6279
2019-10-11,8258.5,180.72,0.26743,55.85,0.0022909,2.7481
2019-10-12,8300.09,179.68,0.27226,55.7,0.0023196,2.5975
2019-10-13,8275.01,180.99,0.27726,56.46,0.0024317,2.486
2019-10-14,8348.2,186.72,0.29727,56.83,0.0025415,2.5324
2019-10-15,8159.29,180.49,0.28859,54.58,0.0024964,2.3974
2019-10-16,7991.74,174.47,0.28331,52.45,0.0026162,2.3717
2019-10-17,8070.58,177.16,0.30167,54.94,0.0027405,2.4124
2019-10-18,7947.01,172.74,0.29404,53.21,0.0026952,2.3546
2019-10-19,7948.01,171.79,0.29145,53.72,0.0027176,2.3521
2019-10-20,8223.35,175.22,0.29386,54.85,0.0027151,2.4444
2019-10-21,8197.27,173.98,0.29187,54.57,0.0026879,2.6223
2019-10-22,8020.0,171.2,0.29046,53.39,0.0025311,2.6074
2019-10-23,7466.62,162.35,0.27306,49.5,0.0024746,2.6055
2019-10-24,7412.41,160.38,0.27596,49.54,0.0025183,2.72
2019-10-25,8655.02,181.5,0.29829,56.93,0.0026694,2.8374
2019-10-26,9230.0,179.49,0.29351,56.71,0.0025925,2.7348
2019-10-27,9529.93,183.75,0.29818,59.78,0.00264,2.6646
2019-10-28,9205.14,181.72,0.29447,57.7,0.0026265,2.6611
2019-10-29,9407.62,190.46,0.30192,59.75,0.002625,2.662
2019-10-30,9154.72,183.13,0.29471,57.89,0.0025936,2.6093
2019-10-31,9140.85,182.18,0.29452,58.29,0.0025844,2.7219
2019-11-01,9231.61,182.85,0.29146,58.23,0.0025932,2.7091
2019-11-02,9289.52,182.91,0.29456,58.25,0.0025773,2.6973
2019-11-03,9194.71,181.54,0.29024,58.29,0.0025861,2.6605
2019-11-04,9393.35,185.71,0.29863,61.29,0.0025751,2.6746
2019-11-05,9308.66,188.68,0.30061,63.12,0.0025927,2.6746
2019-11-06,9339.05,191.16,0.31009,64.11,0.0025952,2.7448
2019-11-07,9216.2,186.68,0.29061,61.39,0.0026982,2.6757
2019-11-08,8773.73,183.74,0.27547,60.38,0.0026381,2.71
2019-11-09,8809.41,184.89,0.2799,62.04,0.0027126,2.8009
2019-11-10,9039.47,188.96,0.27894,63.65,0.0027565,2.777
2019-11-11,8733.27,184.98,0.27423,61.84,0.002705,2.744
2019-11-12,8821.94,187.09,0.27222,61.42,0.0027078,2.8152
2019-11-13,8777.12,188.11,0.27202,60.96,0.0026821,3.02
2019-11-14,8646.68,184.92,0.26795,59.0,0.002662,3.039
2019-11-15,8471.73,180.0,0.26069,57.6,0.002658,3.0389
2019-11-16,8491.02,182.37,0.26218,58.3,0.0026606,2.9894
2019-11-17,8502.4,183.82,0.26311,59.22,0.0026258,2.91
2019-11-18,8187.17,178.2,0.25179,55.81,0.0025395,2.7885
2019-11-19,8133.64,175.94,0.25398,55.13,0.0025165,2.7255
2019-11-20,8098.01,174.72,0.25014,54.98,0.0025225,2.6982
2019-11-21,7627.74,161.01,0.24345,50.61,0.0024063,2.5456
2019-11-22,7268.23,149.56,0.23,47.32,0.0023524,2.3466
2019-11-23,7311.57,151.84,0.23407,48.1,0.0023994,2.4266
2019-11-24,6903.28,139.96,0.21989,43.86,0.002233,2.2216
2019-11-25,7109.57,145.69,0.21731,45.47,0.0022539,2.2523
2019-11-26,7156.14,147.47,0.2206,46.91,0.0022663,2.2424
2019-11-27,7508.52,152.62,0.224,47.7,0.0023208,2.2242
2019-11-28,7419.49,150.72,0.22313,46.79,0.002272,2.2702
2019-11-29,7739.68,154.57,0.22998,48.54,0.0023593,2.3403
2019-11-30,7541.89,151.37,0.2255,47.21,0.0022918,2.2373
2019-12-01,7390.89,150.73,0.22477,47.45,0.0022648,2.1638
2019-12-02,7294.28,148.65,0.21914,45.45,0.0022194,2.0911
2019-12-03,7292.71,147.17,0.21951,44.75,0.0021782,2.1222
2019-12-04,7194.32,145.38,0.2139,44.67,0.0021682,2.029
2019-12-05,7389.0,148.1,0.22118,44.81,0.0021755,2.0068
2019-12-06,7527.47,148.45,0.22546,45.28,0.0021944,2.0943
2019-12-07,7488.21,147.14,0.22699,45.15,0.002184,2.044
2019-12-08,7510.11,150.44,0.22909,45.56,0.0021971,2.0528
2019-12-09,7338.64,147.38,0.22445,44.45,0.0021699,2.0984
2019-12-10,7224.13,145.56,0.22256,44.09,0.0021368,2.2657
2019-12-11,7210.0,143.39,0.22093,43.7,0.0021379,2.1786
2019-12-12,7198.08,144.87,0.21837,43.65,0.0021344,2.1056
2019-12-13,7258.48,144.8,0.22054,44.44,0.0021321,2.0709
2019-12-14,7064.05,141.79,0.21605,43.25,0.0021127,1.9946
2019-12-15,7118.59,142.46,0.21735,43.44,0.0021363,2.0708
2019-12-16,6891.72,132.73,0.2055,39.99,0.002087,1.9751
2019-12-17,6623.82,121.88,0.1831,36.92,0.0019772,1.7598
2019-12-18,7277.83,132.78,0.19573,40.79,0.0020483,1.8703
2019-12-19,7150.3,128.1,0.1878,39.65,0.0020205,1.805
2019-12-20,7187.83,128.19,0.19521,40.17,0.0020273,1.9182
2019-12-21,7132.75,126.99,0.19143,39.67,0.00204,1.8575
2019-12-22,7501.44,132.09,0.19649,41.82,0.0020808,1.9181
2019-12-23,7317.09,127.8,0.18953,40.56,0.002051,1.8629
2019-12-24,7255.77,127.75,0.19077,40.34,0.0020184,1.8435
2019-12-25,7204.63,125.09,0.18852,40.08,0.00204,1.7826
2019-12-26,7202.0,125.58,0.18923,40.01,0.0020245,1.8539
2019-12-27,7254.74,126.29,0.19003,40.95,0.0020277,1.8751
2019-12-28,7316.14,128.11,0.1932,42.83,0.0020458,1.8746
2019-12-29,7388.24,134.36,0.19653,43.08,0.0020329,1.8976
2019-12-30,7246.0,131.59,0.19326,42.38,0.0020264,1.8243
2019-12-31,7195.23,129.16,0.19295,41.3,0.0020135,1.7673
2020-01-01,7200.85,130.77,0.19305,41.62,0.0020245,1.8111
2020-01-02,6965.71,127.19,0.1875,39.43,0.0019951,1.7366
2020-01-03,7344.96,134.35,0.19338,42.23,0.0020236,1.804
2020-01-04,7354.11,134.2,0.19305,42.78,0.0020579,1.8242
2020-01-05,7358.75,135.37,0.19453,43.3,0.0020696,1.7957
2020-01-06,7758.0,144.15,0.2231,45.8,0.0021344,1.9374
2020-01-07,8145.28,142.8,0.21335,46.3,0.002175,2.1033
2020-01-08,8055.98,140.72,0.2075,45.35,0.0020886,2.1892
2020-01-09,7817.76,137.74,0.20373,44.74,0.0021282,2.1886
2020-01-10,8197.02,144.84,0.21284,49.06,0.0021973,2.2257
2020-01-11,8020.01,142.38,0.21121,49.3,0.0021754,2.2734
2020-01-12,8184.98,146.54,0.21539,51.43,0.0021963,2.2383
2020-01-13,8110.34,143.58,0.21134,49.6,0.0021704,2.1901
2020-01-14,8810.01,165.64,0.23464,58.39,0.0023581,2.3751
2020-01-15,8821.41,166.4,0.23367,58.16,0.0023669,2.3953
2020-01-16,8720.01,164.21,0.229,57.56,0.0023276,2.4925
2020-01-17,8913.28,169.85,0.23921,61.02,0.0024868,2.7006
2020-01-18,8915.96,174.14,0.24357,59.32,0.0025115,2.7709
2020-01-19,8701.7,166.79,0.23558,57.6,0.0023982,2.6212
2020-01-20,8642.35,166.87,0.23314,57.19,0.002376,2.688
2020-01-21,8736.03,169.49,0.23726,57.57,0.0023673,2.6716
2020-01-22,8682.36,168.07,0.23733,58.33,0.0023434,2.6426
2020-01-23,8404.52,162.81,0.22586,54.52,0.0022514,2.4698
2020-01-24,8439.0,162.54,0.22222,54.38,0.0022698,2.5024
2020-01-25,8340.58,160.35,0.21946,53.25,0.002251,2.4468
2020-01-26,8615.0,167.86,0.23131,56.24,0.0022854,2.5764
2020-01-27,8907.57,170.08,0.23077,58.55,0.0023594,2.6055
2020-01-28,9374.21,175.64,0.23906,60.52,0.0024412,2.6558
2020-01-29,9301.53,173.72,0.23539,59.8,0.0023865,2.7773
2020-01-30,9513.21,184.69,0.24376,67.98,0.002414,2.9156
2020-01-31,9352.89,179.99,0.23946,68.0,0.0023776,2.8259
2020-02-01,9384.61,183.6,0.24141,70.72,0.002417,2.8378
2020-02-02,9331.51,188.44,0.25093,69.93,0.0024406,2.8267
2020-02-03,9292.24,189.69,0.25453,69.65,0.0024156,2.771
2020-02-04,9197.02,188.91,0.26737,68.07,0.0025169,2.7395
2020-02-05,9612.04,203.78,0.27774,72.59,0.0025826,2.839
2020-02-06,9772.0,213.19,0.28325,73.6,0.0026654,2.89
2020-02-07,9813.73,223.33,0.27953,74.3,0.0027888,3.3072
2020-02-08,9895.05,223.05,0.27735,76.56,0.003171,3.4171
2020-02-09,10151.75,228.49,0.28257,77.0,0.0032235,3.4945
2020-02-10,9851.83,222.89,0.27338,74.02,0.0029663,3.3862
2020-02-11,10223.08,236.69,0.281,76.46,0.00303,3.9931
2020-02-12,10326.46,265.74,0.30427,81.17,0.0030589,3.9953
2020-02-13,10229.63,268.32,0.32709,80.55,0.0030132,3.8765
2020-02-14,10344.36,285.15,0.33594,83.14,0.0031067,4.426
2020-02-15,9904.72,264.88,0.30729,76.7,0.0029031,4.3241
2020-02-16,9917.27,258.85,0.29224,74.67,0.0027522,4.4566
2020-02-17,9706.0,267.85,0.28736,73.41,0.0026999,4.3108
2020-02-18,10164.71,282.61,0.29827,77.25,0.0028286,4.5523
2020-02-19,9593.79,258.45,0.27466,70.61,0.0026085,4.3873
2020-02-20,9596.42,256.96,0.2709,69.4,0.002653,4.2644
2020-02-21,9677.05,265.27,0.27418,73.25,0.0026481,4.2778
2020-02-22,9650.86,261.57,0.27468,74.79,0.0025887,4.1066
2020-02-23,9936.4,274.48,0.28298,79.52,0.0026772,4.2365
2020-02-24,9656.13,265.52,0.2704,75.59,0.0025769,3.9148
2020-02-25,9315.84,246.67,0.25209,70.98,0.0024734,3.4905
2020-02-26,8785.25,223.93,0.22915,60.53,0.0023439,3.5648
2020-02-27,8823.21,227.79,0.2385,61.77,0.0023255,3.9579
2020-02-28,8692.91,226.76,0.23663,59.89,0.0022823,4.1609
2020-02-29,8523.61,217.21,0.22892,58.05,0.0022153,4.0579
2020-03-01,8531.88,217.81,0.22696,57.7,0.0022794,3.859
2020-03-02,8915.24,231.97,0.23958,61.42,0.0023471,4.2423
2020-03-03,8760.07,223.91,0.23428,61.01,0.0024985,4.5846
2020-03-04,8750.87,224.26,0.23453,60.38,0.0024187,4.6406
2020-03-05,9054.68,228.38,0.23909,62.06,0.0024771,4.7151
2020-03-06,9131.88,244.88,0.24477,63.22,0.0024862,4.6814
2020-03-07,8886.66,237.23,0.23622,60.46,0.0024066,4.3412
2020-03-08,8033.31,199.43,0.20385,51.0,0.0021671,4.0537
2020-03-09,7929.87,202.81,0.20952,50.39,0.0022203,4.1231
2020-03-10,7894.56,200.7,0.21185,50.26,0.0022053,4.0839
2020-03-11,7934.52,194.61,0.20813,48.53,0.0021716,3.8169
2020-03-12,4800.0,107.82,0.13549,29.83,0.0015996,1.9931
2020-03-13,5578.6,134.06,0.15872,37.52,0.001746,2.4333
2020-03-14,5172.06,122.54,0.14588,34.4,0.0016632,2.1379
2020-03-15,5361.3,123.78,0.15308,36.38,0.0016932,2.0884
2020-03-16,5028.97,111.02,0.14102,33.2,0.0015817,1.7832
2020-03-17,5312.64,115.67,0.14694,34.07,0.0016219,1.8641
2020-03-18,5393.04,118.11,0.1476,34.71,0.0016002,1.9483
2020-03-19,6162.37,136.3,0.1646,38.9,0.00177,2.2398
2020-03-20,6208.36,133.48,0.15695,38.08,0.0017802,2.26
2020-03-21,6186.98,132.66,0.15797,38.32,0.0017849,2.2787
2020-03-22,5816.19,122.32,0.14776,35.4,0.0017264,1.9898
2020-03-23,6467.31,135.92,0.15854,38.94,0.0018192,2.2468
2020-03-24,6744.72,138.42,0.16225,40.57,0.0018641,2.3104
2020-03-25,6677.43,136.1,0.16168,39.17,0.0018296,2.257
2020-03-26,6737.36,138.4,0.17593,40.41,0.0018519,2.3132
2020-03-27,6359.11,131.33,0.17269,38.04,0.0017766,2.1373
2020-03-28,6236.65,130.98,0.17543,38.87,0.001783,2.1364
2020-03-29,5881.42,124.5,0.16278,37.11,0.0017099,2.0083
2020-03-30,6394.38,132.06,0.17112,38.91,0.0017957,2.135
2020-03-31,6410.44,132.72,0.17353,39.08,0.0018041,2.2658
2020-04-01,6642.92,135.69,0.17494,39.23,0.0018631,2.2753
2020-04-02,6794.09,141.28,0.17828,39.86,0.0018777,2.2941
2020-04-03,6734.1,141.31,0.17957,40.46,0.0018467,2.3013
2020-04-04,6856.99,144.1,0.18114,40.71,0.0018697,2.3155
2020-04-05,6772.78,142.68,0.17925,40.31,0.00185,2.2635
2020-04-06,7329.9,171.32,0.19803,45.04,0.0019896,2.5555
2020-04-07,7197.32,164.63,0.19285,44.77,0.0019943,2.7303
2020-04-08,7361.28,173.11,0.20192,46.55,0.0020038,3.1693
2020-04-09,7283.54,169.52,0.19829,46.21,0.0020151,3.3099
2020-04-10,6858.92,157.81,0.18758,42.25,0.001965,3.22
2020-04-11,6876.83,158.33,0.1885,42.54,0.0019645,3.29
2020-04-12,6903.79,158.59,0.18939,42.0,0.0019673,3.4189
2020-04-13,6837.91,156.29,0.18763,41.22,0.0019533,3.3702
2020-04-14,6868.7,158.45,0.18613,41.22,0.0019656,3.252
2020-04-15,6621.24,152.73,0.1805,39.22,0.0019061,3.1212
2020-04-16,7101.94,172.29,0.19053,42.53,0.001995,3.4851
2020-04-17,7027.55,170.69,0.18863,42.19,0.001983,3.4523
2020-04-18,7248.6,187.4,0.19544,44.14,0.0020445,3.7805
2020-04-19,7120.74,180.03,0.18901,42.23,0.0020313,3.5902
2020-04-20,6826.83,170.2,0.18151,40.21,0.0019787,3.4322
2020-04-21,6841.37,170.74,0.18341,40.59,0.00195,3.4577
2020-04-22,7125.14,182.7,0.18804,41.8,0.0019957,3.6786
2020-04-23,7482.39,185.51,0.1926,42.98,0.0020512,3.7533
2020-04-24,7505.0,187.59,0.19325,44.53,0.0020832,3.7735
2020-04-25,7538.67,194.21,0.19418,44.38,0.0021245,3.7865
2020-04-26,7693.1,197.38,0.19618,44.52,0.0024076,3.721
2020-04-27,7774.62,196.34,0.19747,44.46,0.0023456,3.6383
2020-04-28,7738.98,196.24,0.21416,45.69,0.002327,3.6413
2020-04-29,8778.57,215.36,0.22648,48.81,0.0024912,3.8879
2020-04-30,8620.0,206.08,0.21135,46.33,0.002433,3.7025
2020-05-01,8826.96,212.02,0.21786,47.07,0.0024749,3.7571
2020-05-02,8972.05,213.9,0.22369,49.2,0.002542,3.8182
2020-05-03,8894.16,209.86,0.21936,48.05,0.0025001,3.7092
2020-05-04,8871.96,206.48,0.21776,46.96,0.0024605,3.7499
2020-05-05,9021.83,205.29,0.21688,46.54,0.0024738,3.6833
